KEY,VAR_TARGET,VAR_1,VAR_2,VAR_3,VAR_4,VAR_5,VAR_6,VAR_7,VAR_8,VAR_9,VAR_10,VAR_11,VAR_12,VAR_13,VAR_14,VAR_15,VAR_16,VAR_17,VAR_18,VAR_19,VAR_20,VAR_21,VAR_22,VAR_23,VAR_24,VAR_25,VAR_26,VAR_27,VAR_28,VAR_29,VAR_30,VAR_31,VAR_32,VAR_33,VAR_34,VAR_35,VAR_36,VAR_37,VAR_38,VAR_39,VAR_40,VAR_41,VAR_42,VAR_43,VAR_44,VAR_45,VAR_46,VAR_47,VAR_48,VAR_49,VAR_50
1,0,6603,W,34.0,,,0.0,0.0,0.0,0.0,0.0,,3,,,,K,34.0,1430.0,0.0,0.0,2.0,,D,1300,1300,,0,0,0.0,0.0,99.0,,,2000,5.0,N,E,0.0,0,,0.0,0.0,,0.0,,,0.0,,1300,
2,1,5210,I,34.0,,,0.0,0.0,0.0,0.0,0.0,8.0,3,0.0,0.0,,E,7.0,0.0,4.0,5.0,0.0,L,E,1800,1800,0.0,0,2,0.0,0.0,78.0,,,7000,3.0,N,S,10.0,0,,0.0,0.0,,0.0,0.0,,0.0,,1570,1800.0
3,1,2505,Q,7.0,,,0.0,1000.0,915.0,311.0,0.0,7.0,10,1000.0,1000.0,,E,,1103.0,1.0,3.0,0.0,O,E,1450,1450,1.0,1,8,0.0,0.0,16.0,,,3000,3.0,Y,S,202.0,15,5594.0,269.0,1004.0,,1000.0,1000.0,1560.0,553.0,1567.0,1450,1450.0
4,1,3902,Q,34.0,,,0.0,1000.0,722.0,182.0,0.0,36.0,10,1000.0,1000.0,,E,35.0,0.0,0.0,0.0,0.0,L,E,2000,2000,1.0,0,0,0.0,0.0,81.0,,,3000,3.0,Y,S,400.0,1,,30.0,16.0,,1000.0,1000.0,1301.0,17.0,1301.0,2000,2000.0
5,1,4607,Q,34.0,11187.0,11187.0,1.0,27187.0,5436.0,1175.0,0.0,25.0,10,16000.0,16000.0,3000.0,E,35.0,1100.0,0.0,3.0,4.0,U,E,1700,1700,1.0,2,1,23975.0,8256.0,66.0,0.0,A,10000,1.0,Y,S,516.0,0,18000.0,74.0,38.0,,13594.0,16000.0,1518.0,19.0,1389.0,1700,1700.0
6,0,3907,I,7.0,3000.0,3000.0,0.0,3000.0,0.0,0.0,0.0,9.0,5,0.0,0.0,300.0,E,7.0,1463.0,1.0,5.0,17.0,U,E,2900,2900,0.0,0,2,7900.0,4631.0,16.0,171.0,A,10000,2.0,Y,S,615.0,46,,749.0,310.0,,3000.0,0.0,3497.0,252.0,3274.0,3200,2900.0
7,0,2511,I,63.0,1800.0,1800.0,1.0,1800.0,1508.0,259.0,0.0,5.0,10,0.0,0.0,,E,63.0,1001.0,0.0,3.0,0.0,N,E,1680,1680,0.0,0,2,500.0,0.0,16.0,,,1000,3.0,N,S,116.0,73,,0.0,0.0,,1800.0,0.0,,0.0,,1680,1680.0
8,1,4801,I,34.0,,,1.0,1000.0,0.0,0.0,0.0,21.0,10,1000.0,1000.0,,K,34.0,0.0,1.0,5.0,0.0,L,E,5000,5000,0.0,1,2,0.0,0.0,62.0,,,5000,5.0,Y,S,6.0,2,5000.0,0.0,0.0,,1000.0,1000.0,,0.0,0.0,5000,
9,1,3911,I,34.0,1000.0,750.0,0.0,1750.0,1352.0,556.0,0.0,14.0,5,0.0,0.0,1000.0,E,26.0,800.0,0.0,1.0,6.0,L,E,1480,1480,0.0,0,3,2255.0,2279.0,16.0,992.0,A,3000,1.0,Y,S,1.0,1,,0.0,4.0,,875.0,0.0,1480.0,2.0,1480.0,1480,1480.0
10,0,4000,I,35.0,5600.0,2200.0,0.0,21800.0,5601.0,1641.0,0.0,5.0,10,14000.0,14000.0,3000.0,K,35.0,1533.0,0.0,0.0,5.0,L,E,4000,4000,1.0,1,2,4700.0,0.0,29.0,0.0,A,15000,1.0,N,S,417.0,56,4934.0,1219.0,2255.0,5000.0,7267.0,14000.0,,2091.0,,4500,4000.0
